Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (mins),Rank,Genre,combined_text,cleaned_text,KMeans_Cluster,DBSCAN_Cluster,HDBSCAN_Cluster
Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now,Jay Shetty,4.9,371,10080,"Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",654.0,1,Society & Culture,"Think Like a Monk: The Secret of How to Harness the Power of Positivity and Be Happy Now Over the past three years, Jay Shetty has become one of the world’s most popular influencers. One of his clips was the most watched video on Facebook last year, with more than 360 million views. His social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, On Purpose, is consistently ranked the world’s number one health-related podcast.  ",think like monk secret harness power positivity happy past three year jay shetty become one world popular influencers one clip watched video facebook last year million view social medium following total million produced viral video amassed five billion view podcast purpose consistently ranked world number one healthrelated podcast,0,0,37
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García,4.6,3682,615,Brought to you by Penguin.,203.0,2,Personal Success,Ikigai: The Japanese Secret to a Long and Happy Life Brought to you by Penguin.,ikigai japanese secret long happy life brought penguin,0,1,20
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.4,20306,10378,"In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",317.0,3,Personal Development & Self-Help,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people. ",subtle art giving fck counterintuitive approach living good life generationdefining selfhelp guide superstar blogger cut crap show stop trying positive time truly become better happier people,0,2,10
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,4.6,4678,888,Brought to you by Penguin.,335.0,5,Personal Success,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones Brought to you by Penguin.,atomic habit easy proven way build good habit break bad one brought penguin,0,1,20
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6,4308,1005,"Stop going through life,  Start growing through life!",385.0,6,Spiritualism,"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life Stop going through life,  Start growing through life!",life amazing secret find balance purpose life stop going life start growing life,0,3,98
Extraordinary Leadership,Robin Sharma,4.1,179,0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",66.0,1,Business Careers,"Extraordinary Leadership 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",extraordinary leadership completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0,3,90
Sapiens,Yuval Noah Harari,4.6,20163,1093,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,918.0,4,Anthropology,Sapiens Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,sapiens fire gave power farming made hungry money gave purpose science made deadly,0,3,-1
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9339,18290,The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,1068.0,7,Analysis & Strategy,The Intelligent Investor Rev Ed. The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions ,intelligent investor rev classic text annotated update graham timeless wisdom today market condition,0,4,21
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.5,22123,837,Rich Dad Poor Dad will…. ,369.0,9,Personal Development & Self-Help,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not! Rich Dad Poor Dad will…. ,rich dad poor dad rich teach kid money poor middle class rich dad poor dad,0,2,10
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5116,8735,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",664.0,8,Healthy Living & Wellness,"The 5AM Club: Own Your Morning. Elevate Your Life. Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",club morning elevate life legendary leadership elite performance expert robin sharma introduced club concept year ago based revolutionary morning routine helped client maximise productivity activate best health bulletproof serenity age overwhelming complexity,0,5,44
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43,0,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",439.0,2,Business Management,"Dream With Your Eyes Open: An Entrepreneurial Journey UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",dream eye open entrepreneurial journey utv founder pioneer medium industry ronnie screwvala one india successful firstgeneration entrepreneur avid philanthropist penned dream eye open entrepreneurial journey one inspiring entrepreneurial selfhelp book pictured relaxed content cover page book screwvala provides relentless pursuit entrepreneurial glory describes others learn,0,6,31
Influence: The Psychology of Persuasion,Robert B. Cialdini,4.4,3795,12356,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",606.0,11,Earth Sciences Books,"Influence: The Psychology of Persuasion Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",influence psychology persuasion influence classic book persuasion explains psychology people say yes apply understanding,0,7,8
The Sandman,Neil Gaiman,5.0,1,1171,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",654.0,16,Fantasy,"The Sandman Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",sandman please note content kid mature audience like original graphic novel audio adaptation contains explicit language graphic violence well strong sexual content theme discretion advised,2,8,0
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,4.6,28237,10378,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",240.0,10,"Crime, Thriller & Mystery","The Alchemist: A Fable About Following Your Dream 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",alchemist fable following dream completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0,9,7
